#Gene	COSMIC_Tier1(n=578)	NEJM_Neuro(n=376)	PanCancer_SMGs(n=127)
ATP13A2	NA	NeuroD	NA
KLF6	Tier1	NA	NA
CLIP1	Tier1	NA	NA
KLF4	Tier1	NA	NA
SELENON	NA	NeuroD	NA
ETNK1	Tier1	NA	NA
CXCR4	Tier1	NA	NA
CNOT3	Tier1	NA	NA
FIP1L1	Tier1	NA	NA
POTED	NA	NeuroD	NA
AJUBA	NA	NA	CancerSMG
XPA	Tier1	NA	NA
STAT5B	Tier1	NA	NA
C21orf91	NA	NeuroD	NA
ALDH3B1	NA	NeuroD	NA
CAMK2G	NA	NeuroD	NA
COA7	NA	NeuroD	NA
FBN2	NA	NeuroD	NA
QKI	Tier1	NA	NA
CAMK2A	NA	NeuroD	NA
P2RY8	Tier1	NA	NA
FGFR1OP	Tier1	NA	NA
CAMK2B	NA	NeuroD	NA
SUFU	Tier1	NA	NA
TTBK2	NA	NeuroD	NA
TRIP11	Tier1	NA	NA
HGD	NA	NeuroD	NA
PHOX2B	Tier1	NA	NA
PPP2R2C	NA	NeuroD	NA
GNG11	NA	NeuroD	NA
CALY	NA	NeuroD	NA
TCL1A	Tier1	NA	NA
ZMYM2	Tier1	NA	NA
PMPCA	NA	NeuroD	NA
PRCC	Tier1	NA	NA
CALR	Tier1	NA	NA
PPP2R2B	NA	NeuroD	NA
MIR125B2	NA	NeuroD	NA
GJB1	NA	NeuroD	NA
MAP3K13	Tier1	NA	NA
BTK	Tier1	NA	NA
NEFL	NA	NeuroD	NA
PPP3CA	NA	NeuroD	NA
WDR73	NA	NeuroD	NA
PPP3CC	NA	NeuroD	NA
TDP2	NA	NeuroD	NA
EWSR1	Tier1	NA	NA
EEF2	NA	NeuroD	NA
RPN1	Tier1	NA	NA
SMARCD1	Tier1	NA	NA
TGM6	NA	NeuroD	NA
PPP2R3B	NA	NeuroD	NA
PPP2R3C	NA	NeuroD	NA
PPP2R3A	NA	NeuroD	NA
MIF	NA	NeuroD	NA
IKBKB	Tier1	NA	NA
USP25	NA	NeuroD	NA
RPL22	Tier1	NA	CancerSMG
MDM2	Tier1	NA	NA
RARA	Tier1	NA	NA
ADAMTS1	NA	NeuroD	NA
NFE2L3	NA	NA	CancerSMG
MDM4	Tier1	NA	NA
CLOCK	NA	NeuroD	NA
GNG10	NA	NeuroD	NA
EIF3E	Tier1	NA	NA
GNG12	NA	NeuroD	NA
GNG13	NA	NeuroD	NA
SIX1	Tier1	NA	NA
CBFB	Tier1	NA	CancerSMG
CDH1	Tier1	NA	CancerSMG
SYNJ1	NA	NeuroD	NA
BRD3	Tier1	NA	NA
PRX	NA	NA	CancerSMG
CDKN2C	Tier1	NA	CancerSMG
CDKN2A	Tier1	NeuroD	CancerSMG
EXT2	Tier1	NA	NA
EXT1	Tier1	NA	NA
BARD1	Tier1	NA	NA
LIPI	NA	NeuroD	NA
GRIA4	NA	NeuroD	NA
LPP	Tier1	NA	NA
KLK2	Tier1	NA	NA
PPP2R5A	NA	NeuroD	NA
WDCP	Tier1	NA	NA
TPR	Tier1	NA	NA
PAFAH1B2	Tier1	NA	NA
DBH	NA	NeuroD	NA
TRPC3	NA	NeuroD	NA
ARID1B	Tier1	NA	NA
ARID1A	Tier1	NA	CancerSMG
ELOVL5	NA	NeuroD	NA
SYK	Tier1	NA	NA
VIP	NA	NeuroD	NA
GNG5	NA	NeuroD	NA
CYLD	Tier1	NA	NA
GNG3	NA	NeuroD	NA
ELK4	Tier1	NA	NA
KIF5A	NA	NeuroD	NA
APC	Tier1	NA	CancerSMG
TRIP4	NA	NeuroD	NA
PTPN11	Tier1	NA	CancerSMG
TYR	NA	NeuroD	NA
MAPK11	NA	NeuroD	NA
RECQL4	Tier1	NA	NA
NFATC2	Tier1	NA	NA
FOXP1	Tier1	NA	NA
FUS	Tier1	NeuroD	NA
SDHC	Tier1	NA	NA
FUBP1	Tier1	NA	NA
EXOSC8	NA	NeuroD	NA
WIF1	Tier1	NA	NA
SMARCE1	Tier1	NA	NA
PINK1	NA	NeuroD	NA
PDYN-AS1	NA	NeuroD	NA
ATP7A	NA	NeuroD	NA
GLE1	NA	NeuroD	NA
MYCN	Tier1	NA	NA
MYCL	Tier1	NA	NA
U2AF1	Tier1	NA	CancerSMG
CWF19L1	NA	NeuroD	NA
CCNE1	Tier1	NA	NA
GNAI3	NA	NeuroD	NA
FOXA2	NA	NA	CancerSMG
