#Gene	COSMIC_Tier1(n=578)	NEJM_Neuro(n=376)	PanCancer_SMGs(n=127)
SOD1	NA	NeuroD	NA
FLI1	Tier1	NA	NA
IGHMBP2	NA	NeuroD	NA
PRF1	Tier1	NA	NA
ATP2B3	Tier1	NA	NA
TDP1	NA	NeuroD	NA
RAF1	Tier1	NA	NA
KRAS	Tier1	NA	CancerSMG
NPHP3	NA	NeuroD	NA
SOCS1	Tier1	NA	NA
PPP2CA	NA	NeuroD	NA
ACSL3	Tier1	NA	NA
PPP2CB	NA	NeuroD	NA
GSK3A	NA	NeuroD	NA
GSK3B	NA	NeuroD	NA
DDX5	Tier1	NA	NA
DDX6	Tier1	NA	NA
TLR4	NA	NA	CancerSMG
FAT4	Tier1	NA	NA
SIN3A	NA	NA	CancerSMG
KDM5A	Tier1	NA	NA
KDM5C	Tier1	NA	CancerSMG
TAF15	Tier1	NA	NA
TRIM33	Tier1	NA	NA
PCM1	Tier1	NA	NA
HLA-A	Tier1	NA	NA
RPL5	Tier1	NA	CancerSMG
NFKBIE	Tier1	NA	NA
PPP2R5D	NA	NeuroD	NA
DEK	Tier1	NA	NA
CLTC	Tier1	NA	NA
DNM2	Tier1	NA	NA
PREX2	Tier1	NA	NA
CHD4	Tier1	NA	NA
LRRK2	NA	NeuroD	CancerSMG
PTH	NA	NeuroD	NA
ASXL1	Tier1	NA	CancerSMG
AMER1	Tier1	NA	NA
RAD21	Tier1	NA	CancerSMG
FAT1	Tier1	NA	NA
POLG	NA	NeuroD	NA
PRKCA	NA	NeuroD	NA
PIK3R1	Tier1	NA	CancerSMG
TENT5C	Tier1	NA	NA
GNG2	NA	NeuroD	NA
MYD88	Tier1	NA	NA
XPC	Tier1	NA	NA
SMC1A	NA	NA	CancerSMG
TFEB	Tier1	NA	NA
STAG2	Tier1	NA	CancerSMG
MN1	Tier1	NA	NA
TRB	Tier1	NA	NA
RNF43	Tier1	NA	NA
TRD	Tier1	NA	NA
HIST1H2BD	NA	NA	CancerSMG
RHOH	Tier1	NA	NA
VHL	Tier1	NA	CancerSMG
TMPRSS15	NA	NeuroD	NA
ITPR2	NA	NeuroD	NA
GNGT1	NA	NeuroD	NA
RHOA	Tier1	NA	NA
ITPR1	NA	NeuroD	NA
BSCL2	NA	NeuroD	NA
ETV1	Tier1	NA	NA
VCP	NA	NeuroD	NA
KDSR	Tier1	NA	NA
ETV5	Tier1	NA	NA
ETV4	Tier1	NA	NA
TAF1	NA	NA	CancerSMG
ETV6	Tier1	NA	NA
MPL	Tier1	NA	NA
SDC4	Tier1	NA	NA
HOXD13	Tier1	NA	NA
TNFAIP3	Tier1	NA	NA
HOXD11	Tier1	NA	NA
ELOVL4	NA	NeuroD	NA
AR	Tier1	NeuroD	CancerSMG
GNG8	NA	NeuroD	NA
SNCA	NA	NeuroD	NA
POMT1	NA	NeuroD	NA
ASCC1	NA	NeuroD	NA
ITPR1-DT	NA	NeuroD	NA
EPHA3	NA	NA	CancerSMG
IDS	NA	NeuroD	NA
POT1	Tier1	NA	NA
MUTYH	Tier1	NA	NA
CACNA1B	NA	NeuroD	NA
MAPK10	NA	NeuroD	NA
SS18L1	Tier1	NA	NA
MAPK12	NA	NeuroD	NA
MAPK13	NA	NeuroD	NA
ABL1	Tier1	NA	NA
ABL2	Tier1	NA	NA
IKZF1	Tier1	NA	NA
NCOR2	Tier1	NA	NA
IKZF3	Tier1	NA	NA
GNAI1	NA	NeuroD	NA
TP63	Tier1	NA	NA
DROSHA	Tier1	NA	NA
BTG3	NA	NeuroD	NA
BTG1	Tier1	NA	NA
SGCB	NA	NeuroD	NA
CREB5	NA	NeuroD	NA
BCL10	Tier1	NA	NA
MRTFA	Tier1	NA	NA
MAPK1	Tier1	NA	NA
KDM6A	Tier1	NA	CancerSMG
NBN	Tier1	NA	NA
KNL1	Tier1	NA	NA
PML	Tier1	NA	NA
NFKB2	Tier1	NA	NA
MAPK9	NA	NeuroD	NA
FGF14	NA	NeuroD	NA
MYCT1	NA	NeuroD	NA
MT-TL1	NA	NeuroD	NA
LYL1	Tier1	NA	NA
ELL	Tier1	NA	NA
HMGA2	Tier1	NA	NA
HMGA1	Tier1	NA	NA
FEV	Tier1	NA	NA
FES	Tier1	NA	NA
BCOR	Tier1	NA	NA
SYNE1	NA	NeuroD	NA
VWA3B	NA	NeuroD	NA
GOPC	Tier1	NA	NA
HEY1	Tier1	NA	NA
RGS17	NA	NeuroD	NA
ZNF521	Tier1	NA	NA
DICER1	Tier1	NA	NA
ADH6	NA	NeuroD	NA
ADH5	NA	NeuroD	NA
ADH4	NA	NeuroD	NA
WWTR1	Tier1	NA	NA
GLUD2	NA	NeuroD	NA
GLB1	NA	NeuroD	NA
MET	Tier1	NA	NA
ALDH3B2	NA	NeuroD	NA
PRKACA	Tier1	NeuroD	NA
KDR	Tier1	NA	NA
WWOX	NA	NeuroD	NA
UCHL1	NA	NeuroD	NA
HSP90AA1	Tier1	NA	NA
BICD2	NA	NeuroD	NA
CIC	Tier1	NA	NA
ACVR1	Tier1	NA	NA
RAB39B	NA	NeuroD	NA
NUMA1	Tier1	NA	NA
BCL11A	Tier1	NA	NA
BCL11B	Tier1	NA	NA
MSN	Tier1	NA	NA
LATS1	Tier1	NA	NA
PPP2R2D	NA	NeuroD	NA
ELF3	NA	NA	CancerSMG
TLX3	Tier1	NA	NA
ELF4	Tier1	NA	NA
RMI2	Tier1	NA	NA
GRIN2B	NA	NeuroD	NA
ZRSR2	Tier1	NA	NA
TLX1	Tier1	NA	NA
NRAS	Tier1	NA	CancerSMG
MLH1	Tier1	NA	NA
LRP1B	Tier1	NA	NA
CREB3L1	Tier1	NeuroD	NA
TH	NA	NeuroD	NA
VPS13D	NA	NeuroD	NA
SRSF2	Tier1	NA	NA
VPS13C	NA	NeuroD	NA
PTPRB	Tier1	NA	NA
NF2	Tier1	NA	NA
PDGFB	Tier1	NA	NA
DNMT3A	Tier1	NA	CancerSMG
ADH1A	NA	NeuroD	NA
PIM1	Tier1	NA	NA
HOOK3	Tier1	NA	NA
TMPRSS2	Tier1	NA	NA
GPC3	Tier1	NA	NA
TSC2	Tier1	NA	NA
KAT6B	Tier1	NA	NA
CLTCL1	Tier1	NA	NA
NPM1	Tier1	NA	CancerSMG
KAT6A	Tier1	NA	NA
HSPA13	NA	NeuroD	NA
NFIB	Tier1	NA	NA
PTPRT	Tier1	NA	NA
PLEKHG5	NA	NeuroD	NA
PTPRK	Tier1	NA	NA
EZR	Tier1	NA	NA
CREB3L2	Tier1	NeuroD	NA
CREB3L3	NA	NeuroD	NA
GRIN2A	Tier1	NeuroD	NA
PTPRC	Tier1	NA	NA
BRAF	Tier1	NA	CancerSMG
CREB3L4	NA	NeuroD	NA
GNA11	Tier1	NA	NA
SDHA	Tier1	NA	NA
ATF4	NA	NeuroD	NA
BAP1	Tier1	NA	CancerSMG
SDHB	Tier1	NA	NA
ATF1	Tier1	NA	NA
SDHD	Tier1	NA	NA
SH2B3	Tier1	NA	NA
